order_date,category,units_sold,inventory_on_hand,unit_price,_injected_anomaly
10-05-2024,Furnitature,74,114,$380.89,
11/15/2024,toys,168,472,26.09,
07-05-2024,CLOTHING,282,691,41.89,
29-Sep-24,Groceries,381, ,$8.89,
07-Sep-23,toys,?,310,24.52,
12-Feb-25,Furnitature,170,488,402.33,
2023.12.31, Toys ,220,523,24.48,
28-Sep-24,Electroncs,187,320,256.55,
"Aug 15, 2024",ELECTRONICS,237,457,"252,05",
06/18/2025,groceries,736,1220,8.79,
01-Oct-23,Toys,104,200,25.17,
08/13/2024,toys,155,271,23.99,
2023.05.10,electronics,339,741,$255.89,
"Aug 30, 2024", furniture,62,143,391.43,
18-May-24,Electroncs,287,671,239.15,
"Nov 02, 2023",groceries,?,949,8.65,
"Dec 06, 2023", Clothing,520,1541,41.84,
16-Apr-23, Electronics ,287,789,242.34,
26-06-2024,Furniture,127,368,N/A,
2025.03.26,Cloting,-550,1395,39.29,
2024.12.05,CLOTHING,427,897,39.48,
23-Mar-23,FURNITURE ,137,302,409.98,
"Sep 05, 2023", Clothing,287,848,40.02,
03/14/2024,ELECTRONICS,391,997,238.52,
01-05-2023,electronics,273,415,239.82,
20-May-24,Groceries,632,1505,$8.14,
"Dec 18, 2023", Electronics ,317,658,253.04,
10-Jul-24,Electronics,340,739,"259,62",
"Mar 10, 2024",TOYS,177,280,25,
20-03-2025,clothing,518,868,$41.85,
04/15/2025,Electroncs,na,932,$244.67,
07-Apr-24, Toys ,170,504,25.46,
"Mar 26, 2025",Toys,272,422,25.54,
"Apr 12, 2024",CLOTHING,381,992,39.43,
2023.01.17,GROCERIES ,655,1744,8.1,
14-May-25,Cloting,524,1225,40.01,
01-Aug-24,Grocery,515,1541,$8.58,
03-04-2024,Toyz,280,780,$25.71,
"Mar 13, 2025",Toyz,232,400,25.48,
"Aug 08, 2023",FURNITURE ,98,224,"400,01",
02-Jul-24,electronics,276,684,255.2,
28-01-2024, Electronics ,259,495,248.37,
20-08-2023, Toys ,118,259,24.17,
2024.08.02,Electronics,200,,$250.41,
04/26/2024, groceries ,601,1412,8.57,
2023.08.04,Grocery,406,858,$8.62,
"Dec 26, 2023",Grocery,877,1381,"8,37",
06-02-2025,groceries,580,1284,8.51,
"Jun 27, 2025", furniture,104,266,394.63,
06-Dec-23,Grocery,806,2382,$8.85,
25-10-2023,clothing,278, ,40.6,
2023.01.22,TOYS,149,319,"25,92",
05/29/2023,electronics,289,796,258.33,
11/25/2024,Groceries,643,1065,8.47,
"Mar 11, 2025",Furniture,170,347,389.75,
"Jan 09, 2025",ELECTRONICS,342,682,244.59,
"Sep 12, 2024",Grocery,416,1216,$8.27,
17-Jun-23,clothing,292,476, ,
18-01-2025,groceries,526,1575,"8,60",
2023.05.28, Electronics ,263,499,249.96,
17-05-2025,Toyz,191,null,24.25,
2024.08.11,clothing,246,520,?,
05/28/2025,Electroncs,366,705,$247.54,
06-09-2025,clothing,318,824,41.36,
09/14/2023,Cloting,245,498,41.82,
"Aug 05, 2024", Toys ,137,334,$25.61,
"Jun 08, 2024",Toys,169,445,23.82,
13-May-25,Furnitature,163,403,403.2,
"Apr 08, 2023", furniture,94,282,$417.79,
03/15/2023,TOYS,228,368,$24.93,
08-04-2024,ELECTRONICS,210,345,255.02,
"Jun 20, 2024",furniture,131,242,408.18,
"Jul 10, 2023",Furnitature,93,211,$408.13,
22-Dec-24,Furnitature,142,239,418.82,
2023.04.26,Toyz,245,481,25.68,
"Jul 15, 2024",clothing,315,907,41.8,
05-08-2024,clothing,489,1459,38.01,
2023.05.06,Furniture,N/A,237,413.7,
15-05-2024,clothing,495,1114,40.95,
27-06-2024,Electroncs,304,643,null,
08/26/2024,Clothing,235,677,$40.72,
19-Apr-25,furniture,137,247,399.14,
"Mar 26, 2023",Cloting,374,620,39.69,
"May 13, 2024", Toys ,210,586,$26.15,
07/23/2023, furniture,80,136,398.91,
2023.09.28,CLOTHING,239,427,40.42,
04/28/2025,ELECTRONICS,389,1045,257.63,
17-07-2023,GROCERIES ,481,976,$8.83,
25-04-2023, Clothing,454,978,"41,37",
2024.05.30,clothing,416,908,38.12,
01-05-2025,clothing,329,551,41.62,
05-03-2024,electronics,350,941,$241.52,
12-10-2024, Electronics ,473,1200,260.96,
2025.04.10,Groceries,697,1587,"8,49",
14-Aug-24,toys,156,null,,
2024.02.03, Electronics ,279,745,241.07,
15-May-23,Groceries,NULL,1390,8.38,
"May 16, 2023",toys,244,396,24.1,
29-Feb-24,Toys,231,661,25.97,
2023.02.14,furniture,126,374,$379.73,
31-Mar-25,CLOTHING,439,1020,39.42,
09/26/2023,CLOTHING,271,693,39.97,
2023.11.15, Toys ,201,308,25.7,
05-05-2025, Electronics ,376,1100,$255.22,
06-10-2024,Groceries,586, ,$8.09,
"Aug 24, 2023", Clothing,273,510,$41.29,
07/17/2023,Furnitature,80,231,$389.03,
02-10-2023,ELECTRONICS,243,NULL,249.01,
18-02-2023,Electronics,258,702,252.34,
"Jun 26, 2025",Electronics,348,811,NULL,
12-11-2024,CLOTHING,485,1118,$39.75,
15-05-2023,Cloting,373,590,40.12,
26-Aug-23,Toyz,101,252,"25,42",
11/26/2023,Grocery,595,1409,"8,82",
09-11-2024,CLOTHING,290,775,41.37,
04-04-2023,ELECTRONICS,353,896,$254.70,
24-08-2023, Electronics ,217,384,246.41,
03-Jul-23,Electronics,270,662,261.79,
2023.11.12,Electronics,249,648,250.71,
25-03-2024, groceries ,676,1469,"8,41",
08-03-2024, furniture,-114,199,396.08,
01/22/2024,toys,174,358,$25.51,
"Feb 11, 2023", furniture,102,239,$417.66,
2023.07.07,groceries,487,1298,8.18,
28-Apr-24,Toys,187,439,25.69,
03-10-2023,Electroncs,239,528,$240.80,
"Nov 04, 2023",groceries,525,894,$8.51,
2023.06.29, groceries ,651,1643,8.17,
03-11-2023,Electroncs,262,468,255.65,
"Jan 17, 2024", furniture,119,256,$411.22,
2025.06.30,furniture,114,305,381.32,
2024.04.08, groceries ,669,1685,8.5,
2023.01.05,Toyz,154,369,"25,25",
"Oct 22, 2023",Furnitature,62,168,392.46,
2025.04.17, Toys ,251,682,25.12,
2024.05.11, furniture,120,290,$384.11,
2024.11.24,Cloting,371,946,39.96,
2023.02.12, Electronics ,266,521,246.48,
2024.03.13,Furnitature,141,271,$382.77,
"Feb 03, 2024",Cloting,329,,39.61,
04-01-2025,Grocery,738,1624,8.51,
2023.04.28,Clothing,353,706,null,
25-06-2025,ELECTRONICS,436,944,249.74,
06/28/2025,Toys,155,460,24.93,
"Sep 26, 2023",TOYS,110,329,24.11,
2023.03.19,Toys,199,347,25.06,
27-12-2023, Electronics ,415,685,N/A,
"Jun 02, 2024",Electronics,295,705,243.64,
"Apr 12, 2025", Electronics ,360,623,260.79,
"Mar 06, 2025",Grocery,720,1890,8.41,
06-Sep-23,ELECTRONICS,231,null,249.27,
03-11-2023,toys,175,402,"24,73",
"Jul 01, 2023", furniture,83,224,$408.69,
11-07-2023,Grocery,580,1207,8.46,
2023.02.11,groceries,583, ,"8,54",
06-03-2025,Furnitature,159,343,"395,24",
11-May-24,clothing,372,877,$41.52,
2024.12.12, furniture,153,240,404.08,
2025.03.16,Grocery,644,1859,"8,15",
2025.01.20,clothing,396,null,$39.15,
2025.02.14,FURNITURE ,119,308,402.56,
"Sep 10, 2023",CLOTHING,206,471,41.08,
05/22/2023, Toys ,161,358,24.06,
29-04-2024, Clothing,404,1210,$40.98,
13-Dec-24,Furniture,134,295,398.8,
19-01-2024,furniture,93,243,"391,63",
11/30/2023,groceries,666,1364,$8.33,
20-06-2025, groceries ,505,781,8.29,
13-05-2025,groceries,na,1877,$8.16,
05/18/2023,Grocery,677,1922,8.1,
03-07-2024,TOYS,199,?,23.99,
11/21/2023,Electroncs,353,737,259.15,
"Sep 17, 2023",Electronics,161,349,"253,04",
27-03-2025,Groceries,779,1982,$8.58,
25-Dec-24,Groceries,964,2681,8.12,
06-05-2024,Electroncs,337,na,$245.14,
05/25/2025,GROCERIES ,638,1380,$8.68,
"Feb 07, 2023",electronics,329,523,256.71,
18-07-2023,Electronics,257,528,$256.98,
2025.03.04, furniture,172,295,415.08,
31-May-23,Electroncs,332,599,261.69,
18-Aug-24,clothing,244,544,$40.15,
27-10-2023,Electronics,164,470,"257,60",
2024.06.18,ELECTRONICS,351,973,248.64,
09/27/2023,groceries,481,1074,$8.53,
12/19/2024,Clothing,539,928,$41.47,
30-08-2024,groceries,361,633,8.7,
23-Jun-25,FURNITURE ,118,210,409.74,
02-Apr-23,Electronics,290,648,256.38,
17-07-2024, Electronics ,295,620,$255.17,
08/26/2024,GROCERIES ,413,1115,8.59,
04/15/2024,Electroncs,331,788,"242,98",
05-10-2023,Furniture,148,328,406.15,
"Jul 09, 2023",Toys,?,384,24.53,
"Jun 20, 2025",Toyz,157,388,25.62,
2024.10.28,Furnitature,79,165,408.92,
07-02-2023,TOYS,150,438,$24.40,
2024.11.27,Cloting,501,1452,39.67,
02-11-2023,Furniture,112,291,387.77,
"Nov 08, 2023", furniture,159, ,413.49,
"Aug 15, 2024", Toys ,159,348,25.21,
2024.02.29,groceries,766,2132,"8,17",
04-06-2023, furniture,134,307,388.98,
10/24/2024, Toys ,134,318,25.16,
"Nov 07, 2024",furniture,139,278,393.08,
15-11-2023,GROCERIES ,722,1732,8.4,
2024.08.22,CLOTHING,265,399,$40.05,
2023.03.16, Electronics ,304,na,248.69,
"Dec 22, 2024",CLOTHING, ,1269,$38.51,
06/30/2023,clothing,283,na,39.09,
04-04-2024,FURNITURE ,142,242,388.63,
04-01-2025,TOYS,161,409,24.96,
03-07-2023,groceries,831,2475,$8.89,
02/27/2023,FURNITURE ,119,194,382.86,
19-Feb-24,toys,205,452,$25.67,
"Aug 15, 2024",groceries,456,854,8.56,
"Jan 15, 2025",Toyz,246, ,25.88,
07-Feb-23,groceries,699,N/A,8.75,
04/27/2025, Clothing,416,636,40.63,
"Jan 13, 2023",Cloting,267,538,41.98,
"Apr 10, 2025",CLOTHING,481,1000,41.5,
11/23/2023,clothing,422,974,"39,11",
"Oct 18, 2023",Cloting,305,671,40.58,
2023.11.24,Grocery,N/A,1468,$8.42,
22-Mar-23,groceries,888,2186,"8,30",
"Apr 25, 2024",Electroncs,398,1115,"243,55",
28-07-2023,Electronics,200,556,241.47,
27-06-2023,clothing,363,588,$40.91,
"May 06, 2025",Electroncs,432,952,$258.73,
2023.07.31,Electroncs,NULL,338,237.74,
2025.04.01,Furnitature,184,453,$410.09,
"Oct 26, 2024",CLOTHING,219,499,40.72,
2023.03.18, Toys ,160,398,N/A,
18-May-23,Toys,186,401,24.35,
22-07-2024,Grocery,491,1442,8.29,
11/29/2023,Electronics,348,905,240.38,
2023.04.07, Toys ,161,322,$25.90,
"Mar 22, 2023", Clothing,545, ,"40,33",
03/26/2025,Groceries,855,2053,$8.57,
20-06-2025, groceries ,505,781,8.29,
13-Oct-23,FURNITURE ,62,130,381.71,
04/18/2023,Electronics,318,na,248.58,
"Jul 27, 2023",TOYS,148,429,"25,64",
09-08-2024,toys,,274,25.85,
2024.12.18,FURNITURE ,186,489,382.21,
"Apr 02, 2023",GROCERIES ,644,,8.61,
10-06-2024,CLOTHING,359,1019,$39.30,
06/15/2025, furniture,131,245,$418.77,
27-Jul-24,TOYS,129,220,24.64,
"Oct 31, 2024",clothing,277,768,39.8,
12-Apr-24,Furniture,131,274,$399.57,
18-Apr-24,Toys,236,407,26.1,
2024.02.06,ELECTRONICS,370,867,259.41,
"Feb 24, 2024",Furnitature,na,213,381.63,
02-01-2025, Electronics ,285,496,"253,82",
18-Jan-23, Toys ,197,338,$24.85,
"Feb 28, 2025", Clothing,387,1047,$40.12,
29-04-2024,furniture,138,394,385.5,
2023.12.29,toys,205,424,24.34,
21-Nov-23,Grocery,-795,1319,8.67,
06-06-2023,TOYS,186,526,"24,55",
"Mar 03, 2025",GROCERIES ,688,1683,8.62,
16-07-2024,Cloting,334,832,,
06-Apr-23,TOYS,206,424,25.08,
03/20/2024, furniture,173,460,$415.80,
06-12-2024,Groceries,609,1135,8.08,
"Jun 28, 2024",GROCERIES ,487,1208,"8,74",
"Feb 21, 2024",Furniture,130,317,392.11,
2024.04.30, groceries ,760,1833,"8,89",
"Dec 16, 2024",Grocery,776,2091,8.62,
"Nov 21, 2023",Furnitature,146,367,392.13,
"May 25, 2023",FURNITURE ,126,244,$396.67,
09-09-2023,clothing,206,504,41.43,
"Apr 13, 2024",Toyz,181,432,$23.90,
12-08-2024,toys,-187,558,"24,38",
2023.06.08,FURNITURE ,118,260,403.83,
27-Oct-24,TOYS,110,247,"24,31",
28-Mar-23,electronics,338,802,$246.18,
2023.05.01,groceries,692,1955,8.14,
2024.04.13, groceries ,603,1405,$8.75,
2023.12.08,Groceries,616,1460,8.16,
29-06-2023,toys,159,269,na,
19-04-2025, Clothing,353,608,$38.75,
2023.12.09,Cloting,365,865,$38.96,
07-Jan-25,CLOTHING,416,1050,38.91,
2024.10.27,Groceries,370,985,8.11,
22-06-2025, groceries ,502,881,$8.67,
"Sep 16, 2024", Toys ,125,334,25.02,
2024.11.14,Cloting,-389,1166,38,
19-Oct-24, Clothing,224,520,$40.63,
01-Apr-23,FURNITURE ,120,NULL,$388.92,
2023.04.01,Electroncs,270,627,$238.15,
02/20/2025, Clothing,470,1316,40.76,
02-10-2023, Toys ,138,330,$25.54,
2024.10.06,Clothing,219,523,40.44,
08/16/2024, Toys ,101,263,$24.26,
11-Nov-24,groceries,626,,8.56,
11-02-2024,electronics,266,467,259.95,
03-Feb-24,Toys,164,319,25.88,
23-Nov-24, groceries ,597,1190,8.24,
"Sep 19, 2023",Furnitature,87,164,415.84,
03-04-2023,GROCERIES ,620,1337,"8,42",
"Apr 06, 2025",GROCERIES ,689,1204,8.39,
18-Jun-24,furniture,-138,323,390.28,
27-03-2024,Clothing,542,1093,40.17,
09/29/2024,Electroncs,199,497,253.62,
"Jan 24, 2025",Furniture,108,253,393.27,
"Mar 31, 2023",CLOTHING,347,696,$40.51,
22-Jan-24,Electronics,281,631,$252.47,
07/30/2023,Cloting,286,474,,
25-03-2025, groceries ,796,2276,8.7,
07-Oct-23,FURNITURE ,60,164,387.79,
12/18/2023,Toyz,193,433,$24.68,
25-12-2023, Clothing,467,1032,38.45,
05/22/2025,Electroncs,380,664,240.33,
05/22/2023,Furniture,105,294,386.52,
09-04-2024,Grocery,492,1434,8.65,
2023.12.16,clothing,355,578,$39.74,
16-07-2023,Electroncs,194,315,$241.08,
03/19/2023,ELECTRONICS,280,782,248.57,
10-07-2023,ELECTRONICS,886,2213,"241,61",spike
11-02-2024,Toyz,-207,579,24.28,
2023.12.01,Electroncs,-253,652,$239.62,
30-04-2023, Electronics ,284,637,$239.57,
"Sep 17, 2023",furniture,65,186,398.91,
02-Apr-23,Electronics,290,648,256.38,
11/21/2023,clothing,417,733,41.77,
"Feb 08, 2023",Cloting,451,1001,39.81,
2024.07.28,toys,150,248,$25.21,
2024.08.26, Toys ,133,316,$25.05,
"Nov 15, 2023",Furniture,157,387,"382,25",
"Dec 20, 2023", Electronics ,NULL,na,$245.73,spike
2023.01.20,Grocery,511,na,$8.60,
08-10-2023,Toyz,107,271,25.18,
03-03-2025, Electronics ,324,754,$246.61,
2023.08.21,ELECTRONICS,174,359,245.94,
09-06-2023,Furnitature,83,219,381.49,
11-May-25,Toys,200,307,25.64,
26-01-2025,Toys,181,511,24.43,
2024.02.25,Furniture,128,214,383.32,
18-04-2024, Clothing,435,831,39.91,
13-Aug-23, groceries ,389,744,$8.24,
08/30/2024,clothing,210,364,38.96,
14-Mar-24,toys,216,426,25.55,
2023.02.07, Toys ,182,479,$24.14,
2025.05.04,toys,200,585,24.54,
"Mar 09, 2024",CLOTHING,372,null,38.09,
15-06-2024,toys,156,423,24.01,
07-05-2025,Cloting,546,1540,41.31,
"Jun 28, 2025",Furniture,101,243,415.62,
26-05-2024, furniture,129,222,404.33,
"Mar 12, 2024",clothing,505,1110,$38.34,
"Nov 18, 2024", furniture,121,342,401.37,
02/18/2023,Grocery,555,904,8.77,
27-01-2025,Grocery,607,957,8.8,
2024.03.01,FURNITURE ,110,329,$409.84,
02-Dec-23,FURNITURE ,99,151,382.94,
10-11-2023,Groceries,525,1004,$8.35,
"May 09, 2023", furniture,140,283, ,
26-08-2023,Clothing,234,484,$41.78,
23-Sep-23, Electronics ,165,447,241.26,
08-Feb-23,ELECTRONICS,NULL,607,243.38,
2025.05.02,FURNITURE ,124,186,$414.97,
2024.06.27, groceries ,597,1116,8.24,
2025.01.15,Groceries,670,1083,8.46,
"Jun 14, 2025",furniture,?,285,408.02,
16-08-2023,furniture,93,168,$402.70,
02-09-2025,Electroncs,NULL,810,238.16,
22-01-2025,FURNITURE ,148,410,384.94,
"Oct 18, 2024",FURNITURE ,-73,138,395.46,
2024.08.19,Toys,125,278,24.1,
21-05-2024,Furnitature,148,348,397.88,
30-Nov-23, Electronics ,1639,4873,241.24,spike
04-05-2025, furniture,134,317,416.04,
18-Sep-23,CLOTHING,211,486,38.18,
03-05-2024,Clothing,?,969,"38,90",
"Aug 01, 2024", Toys ,130,206,"24,80",
03-11-2025,Toys,263,684,$23.99,
"Apr 06, 2025",CLOTHING,387,865,$39.02,
08-Mar-24,Clothing,354,1045,39.07,
"Jan 06, 2024",Furniture,24,46,"388,61",drop
23-04-2023,Clothing,369,727,40.11,
03/23/2025,Toyz,195,583,23.85,
22-Dec-23,GROCERIES ,NULL,NULL,8.19,
06-09-2023,toys,161,379,23.78,
06/24/2023,Groceries,522,1293,8.71,
06-05-2025, groceries ,658,1247,8.09,
"Mar 02, 2024",ELECTRONICS,292,830,242.14,
05-05-2023,GROCERIES ,630,1659,8.18,
03-Jul-24,ELECTRONICS,294,576,247.33,
25-02-2024,Electronics,321,768,$252.60,
09/22/2023, Toys ,101,180,$24.81,
04-09-2025,Cloting,569,1218,39.6,
"Nov 02, 2023",Toyz,NULL,505,23.95,
2023.03.30,Furnitature,126,330,393.62,
22-05-2023,groceries,642,1613,$8.75,
14-02-2024, Clothing,481,917,38.32,
28-10-2023,Furnitature,65,126,413.31,
10-Feb-25,electronics,320,821,257.14,
04/16/2023,Toys,171,335,$25.01,
23-12-2023,Grocery,2357,5175,$8.75,spike
"Mar 15, 2023", groceries ,827,2078,8.39,
18-Sep-24,Clothing,267,587,40.97,
"May 12, 2023",Furniture,112,230,411.35,
18-Apr-25,Electroncs,324,806,$260.02,
18-01-2023,CLOTHING,N/A,686,$40.52,
10-Apr-24,furniture,172,269,403.88,
04/19/2024,furniture,124,336,415.83,
12-09-2023,Grocery,427,1162,8.78,
28-Apr-25,toys,229,607,25.77,
08/30/2023,Cloting,278,635,"38,90",
27-Mar-24,Toys,250,644,24.5,
"Jun 14, 2024",GROCERIES ,471,743,$8.78,
"May 17, 2025",ELECTRONICS,298,882,$238.38,
2024.06.23,Furnitature,93,147,"418,94",
18-Jan-24,electronics,305,711,$260.03,
2023.04.01, groceries ,552,1448,8.81,
17-06-2023, Toys ,135,301,$24.96,
"Mar 07, 2025",clothing,357,823,41.46,
2023.04.14,Toys,160,311,24.62,
19-06-2024,Electronics,363,562,$254.58,
06/27/2023,GROCERIES ,164,414,8.86,drop
08-06-2023,Electroncs,208,338,248.02,
"Mar 09, 2023",Grocery,830,2441,8.47,
26-Sep-24,Furniture,87,155,$383.67,
"Nov 12, 2024", groceries ,754,1849,8.63,
11-09-2023, groceries ,397,659,8.78,
"Jun 07, 2025",Electroncs,NULL,584,250.57,
23-06-2023, Toys ,136,357,25.64,
2024.08.10, Toys ,121,187,25.21,
06-Apr-24,Electronics,NULL,852,257.27,
2024.09.19,Groceries,430,780,na,
07-07-2024, furniture,103,282,404.72,
13-04-2025, groceries ,649,1491,$8.42,
12/24/2024,Furniture,182,486,383.71,
09-Jun-25,GROCERIES ,568,932,"8,29",
07/21/2023,Cloting,276,572,$41.70,
16-01-2024, furniture,132,248,$383.18,
2025.03.08,TOYS,204,599,25.03,
14-Mar-24,clothing,462,1298,41.08,
04/22/2023, Clothing,,1016,39.1,
2025.02.17,Toys,206,366,$25.75,
13-07-2023,FURNITURE ,97,204,399.83,
"Apr 04, 2023",toys,216,603,24.1,
04-Jun-24,GROCERIES ,739,1446,$8.29,
2024.04.06,Toyz,187,475,25.13,
21-10-2023,TOYS,105,195,$25.26,
03-01-2023,Furnitature,106,239,386.18,
05-02-2025,Toys,205,444,24.82,
11/24/2023,electronics,273,769,239.31,
05-Jan-24,clothing,293,778,$41.60,
"Jun 24, 2023", Clothing,273,743,38.07,
11-04-2024,Cloting,388,598,"39,95",
"Feb 04, 2024",Clothing,392,885,$41.55,
2025.04.17, furniture,164,417,384.85,
17-12-2023,GROCERIES ,607,1658,NULL,
01-Aug-24,Grocery,515,1541,$8.58,
"Aug 28, 2023",Clothing,232,389,41.1,
2023.01.21,Furnitature,89,263,$393.36,
11-Jan-23,furniture,116,205,"389,43",
17-01-2025,Furnitature,99,190,null,
"Feb 02, 2025",CLOTHING,370,761,$40.24,
"Mar 02, 2025",CLOTHING,439,1253,$40.19,
2025.06.14,GROCERIES ,-540,1149,$8.63,
12-12-2023, Electronics ,389,1034,257.68,
2023.07.25, Electronics ,234,571,251.14,
"Oct 27, 2024",furniture,74,216,383.91,
2023.10.20, Electronics ,159,362,240.57,
11-10-2023, Electronics ,259,N/A,259.55,
2023.06.12,Groceries,596,1692,8.52,
2023.10.18,electronics,222,456,257.07,
2024.03.22,toys,189,487,$24.83,
"Mar 28, 2025", groceries ,566,1089,$8.71,
15-06-2023,furniture,114,195,387.2,
"Mar 19, 2023",Grocery,680,1328,8.74,
07-Jun-25,Furniture,127,190,407.76,
"Feb 17, 2023",electronics,233,467,257.88,
29-Mar-25,toys,201,364,$25.03,
03-Apr-23,FURNITURE ,123,218,$414.79,
2023.08.08, Clothing,276,779,40.91,
07/21/2023,furniture,74,172,393.19,
"Jun 02, 2024", groceries ,-551,1256,$8.54,
27-03-2023, furniture,-112,179,"387,90",
16-06-2025,Electroncs,302,642,240.87,
30-Mar-25,furniture,144,342,$403.05,
17-Dec-23,Cloting,378,809,41.95,
17-Jan-25, Electronics ,269,778,$257.96,
"Oct 21, 2023",Cloting,219,655,$38.20,
01-Aug-23, groceries ,601,1204,$8.77,
2024.12.18,Groceries,845,1819,8.16,
"Jun 27, 2025", Toys ,172,266,$24.50,
2024.01.31, furniture,160,425,386.69,
12-11-2023,FURNITURE ,124,228,392.08,
13-Aug-23,Electronics,171,381,241.41,
03/22/2024,CLOTHING,387,759,39.4,
03-Dec-23, furniture,118,254,,
26-Oct-23,furniture,90,137,384.23,
2024.07.11,Grocery,535,1140,8.77,
10/17/2023,Clothing,302,880,$41.57,
17-03-2025, Toys ,213,null,"25,79",
07-08-2024,Clothing,328,739,41.25,
2023.06.22,TOYS,168,351,"24,76",
12-08-2023, Electronics ,284,466,$258.55,
"Feb 05, 2023", Clothing,368,779,38.81,
2024.06.07,ELECTRONICS,283,827,253.79,
23-04-2025,TOYS,264,475,25.33,
02-Sep-23, groceries ,363,599,8.61,
2023.12.18, furniture,138,271,418.36,
"Jan 29, 2023",Toyz,156,358,24.6,
27-09-2024,Electroncs,172,467,"258,89",
"Aug 23, 2023",Grocery,505,762,8.87,
25-Jul-24,FURNITURE ,105,164,380.81,
2024.06.12,Electronics,382,864,258.11,
2023.03.01,electronics,348,772,239.68,
"Feb 24, 2023",CLOTHING,307,521,41.43,
2025.01.12,Clothing,339,,$40.42,
02/28/2023,Electronics,298,750,243.99,
06-02-2025,electronics,-387,1079,250.3,
"Aug 23, 2024",ELECTRONICS,-904,1426,$240.14,spike
"May 05, 2024", Clothing,392,638,"40,03",
18-Mar-23,Electronics,259,761,250.09,
2023.07.14,ELECTRONICS,192,530,254.7,
09-01-2025,CLOTHING,401,946,38.97,
2024.06.26,Clothing,433,N/A,40.65,
"Mar 18, 2023",groceries,614,1015,8.8,
2023.02.17,GROCERIES ,545,874,"8,79",
"May 23, 2023",TOYS,213,458,24.97,
2023.08.06,Furniture,74,158,$409.59,
"Apr 09, 2024", Toys ,249,398,$24.98,
02/17/2024,clothing,-421,859,$39.31,
"Feb 26, 2025",Toys,245,524,$26.03,
30-10-2023,TOYS,112,244,24.07,
23-03-2025,Clothing,410,634,$41.41,
"Oct 06, 2024",Toyz,123,240,24.44,
31-01-2024,groceries,730,1502,$8.65,
17-03-2023,Electroncs,269,540,256.42,
08-11-2023, Toys ,230,435,24.49,
04-03-2024,Cloting,538,1520,40.2,
08/17/2024,Groceries,345,760,$8.40,
"Aug 25, 2024",Electronics,191,NULL,$248.52,
01/13/2023,TOYS,140,231,$24.19,
04-09-2024, Toys ,136,305,$25.64,
2024.03.31,Grocery,652, ,8.61,
"Jun 16, 2024",Grocery,537,1416,8.61,
12-09-2024, Clothing,272,687,$41.62,
"May 05, 2023",CLOTHING,359,1071,38.25,
2023.01.04,toys,163,278,$24.16,
10/15/2024,GROCERIES ,464,868,8.79,
2023.05.19,Furniture,100,277,$405.28,
07-05-2024, furniture,-86,174,$383.30,
"Nov 14, 2023", Toys ,202,531,23.7,
"Apr 26, 2023",FURNITURE ,166,385,$391.33,
"Feb 12, 2024",ELECTRONICS,281,719,$249.86,
2023.07.12,Grocery,590,933,$8.83,
2024.04.24,Grocery,786,1434,$8.22,
2024.11.14,groceries,680,1641,8.74,
"Sep 28, 2024",Clothing,175,303,$39.79,
2023.05.17,Groceries,797,2296,$8.45,
"Jun 08, 2025",groceries,541,1310,8.83,
11/28/2023, Clothing, ,1271,38.64,
"Oct 05, 2024",GROCERIES ,347,688,8.66,
15-01-2024,Toyz,176,335,24.73,
"Jul 15, 2023",Groceries,448,1072,$8.09,
2024.09.21,furniture,69,173,380.52,
13-03-2023, furniture,120,NULL,400.39,
2023.11.16, groceries ,659,1651,"8,18",
2024.07.08,electronics,246,570,"256,88",
13-05-2024,FURNITURE ,-133,372,$390.67,
08-Feb-24, Toys ,200,428,$24.62,
04/22/2023,Grocery,659,1639,$8.38,
15-03-2024,ELECTRONICS,292,781,$249.41,
03-Mar-25,CLOTHING,481,1268,41.54,
2025.03.09,Clothing,392,692,41.17,
"Apr 21, 2023",TOYS,159,na,25.28,
20-Dec-24,Toys,189,468,na,
2024.12.22,Groceries,685,NULL,$8.83,
12-09-2024, groceries ,610,1591,8.27,
18-04-2025,Furnitature,147,341,$391.80,
"Nov 01, 2024", furniture,-111,178,"407,38",
"Feb 14, 2024",Electronics,378,848,$251.73,
2023.07.21, Toys ,109,307,$25.45,
2024.09.12,Furniture,84,166,406.15,
2023.01.10,Cloting,402,1028,38.25,
24-Dec-24,Electronics,474,871,243.36,
"Feb 01, 2023",groceries,696,1641,$8.46,
"Jun 17, 2025",Toyz,226,346,25.16,
2025.05.08,toys,237,701,$24.51,
"Nov 05, 2023",Groceries,525,1080,8.73,
25-02-2023,ELECTRONICS,276,,254.52,
07-Nov-24,TOYS,194, ,$25.31,
10-01-2025, furniture,89,136,408.45,
02/26/2024,furniture,128,282,412.36,
"Jun 19, 2024",Clothing,445,877,"38,31",
2023.04.15,CLOTHING,339,794,40.07,
05-03-2025,FURNITURE ,120,231,417.59,
02-03-2024,furniture,116,292,$384.79,
24-Feb-23,electronics,231,639,253.95,
"May 13, 2023",Furniture,110,322,$407.69,
"Jul 25, 2023",GROCERIES ,545,1147,$8.07,
08-08-2024,Furnitature,96,248,$387.68,
18-06-2023,Furniture,null,225,398.12,
04-Mar-24,electronics,331,null,243.31,
06-12-2023,ELECTRONICS,406,643,241.45,
2024.07.18,Toyz,162,325,24.46,
05-10-2025,Cloting,391,655,39.27,
2025.01.28, furniture,146,277,413.32,
01/15/2023,ELECTRONICS,232,593,248.84,
